Installed chaincodes on peer:
Package ID: contract_verify_1.0:285f400656e6ae8ea71ade56f6c2edb9920861accf2fb6ee70285e37b48f8120, Label: contract_verify_1.0
Package ID: contract_verify_1.0:537dc39989db7448e656a6374b9bb84be12e2889140eaa7c2e0e70656750cb61, Label: contract_verify_1.0
Package ID: contract_verify_1.0:9e03bb614a034e7ca6365bdc053498167e5c76793d0298d761f344f2394e45e5, Label: contract_verify_1.0
Package ID: contract_verify_1.0:d7f73bbc1d4afc9d69189dc16a465f231baaaf54235ea78fd1283d5125c9ca2c, Label: contract_verify_1.0
Package ID: contract_verify_1.0:193b0d0e54dc722f9eb0dd9ac0ea71353ac176be64be7c757d47012b9fc7915e, Label: contract_verify_1.0
Package ID: contract_verify_1.0:995878ca5eca664427968752b70a297170244a83eb8f8ed55a9d966300c221f7, Label: contract_verify_1.0
Package ID: contract_verify_1.0:bcd46ab8eec31c6b9d24f5a0766a6ec89bfbcdbe17513ddf3f40eb3b0ae54e33, Label: contract_verify_1.0
Package ID: contract_verify_1.0:e2efa23d40d222ca0de83fc85188ea67cd4c7ac7effc47e38594940b101bd0f6, Label: contract_verify_1.0
Package ID: contract_verify_1.0:1ae0449c0bf284ced89809c372dab1e306c86f24280c92c2d7908fe2d7527de1, Label: contract_verify_1.0
Package ID: contract_verify_1.0:5474948e4539ea0ddd503cc035946b6da918c022cc42429ac098213ca8468ea9, Label: contract_verify_1.0
Package ID: contract_verify_1.0:033cc5fb2dee9874e5b70c7ed51dbd203b6255e52e3763e99efb24caebce6219, Label: contract_verify_1.0
Package ID: contract_verify_1.0:3434a899db916a7237e62b187f23989e354fd95ea73061079bf7630c7ccb5dcd, Label: contract_verify_1.0
Package ID: contract_verify_1.0:6eb01d25175f81ecb0985789a0602002da0b25b24f6a91e6fc27d97d672ea97d, Label: contract_verify_1.0
Package ID: contract_verify_1.0:b497a2e8d50ba481edd5cc106aa346543ec5dfc73a5cabf156e95176b2116749, Label: contract_verify_1.0
Package ID: contract_verify_1.0:d3ff161f726ae9d6dc875593136bc2856e0400ea67ebcc0b47411e733c4bb8c7, Label: contract_verify_1.0
Package ID: contract_verify_1.0:ff393be55b12d3832e2672ad63467acc7fe0b18ced41761f4c0b55826a6d8841, Label: contract_verify_1.0
